ltable_id,ltable_title,rtable_id,rtable_title
13,Donnie Darko,5617,Donnie Darko
3695,Funny People,5624,Funny People
2064,Funny Girl,5627,Funny Girl
727,Funny Face,5629,Funny Face
3362,Funny Farm,5630,Funny Farm
3718,Cobra,5641,Cobra
218,Big Trouble in Little China,5655,Big Trouble in Little China
1225,The Longest Yard,5685,The Longest Yard
1000,The Longest Day,5692,The Longest Day
2656,Annie,5706,Annie
3049,The House of the Devil,5712,The House of the Devil
3480,House of Sand and Fog,5714,House of Sand and Fog
478,House of Games,5720,House of Games
1656,House of Flying Daggers,5724,House of Flying Daggers
2532,The Funhouse,5740,The Funhouse
1192,Coal Miner's Daughter,5755,Coal Miner's Daughter
2651,Clueless,5764,Clueless
3146,Merry Christmas Mr. Lawrence,5773,"Merry Christmas, Mr. Lawrence"
3697,Big Fan,5776,Big Stan
3890,Mermaids,5783,Mermaids
2328,The Long Riders,5811,The Long Riders
2910,The Long Kiss Goodnight,5817,The Long Kiss Goodnight
3852,House of 1000 Corpses,5840,"House of 1,000 Corpses"
2806,Don Jon,5863,Don Jon
3479,Fun & Fancy Free,5870,Fun and Fancy Free
495,Clue,5876,Clue
51,The Big Sleep,5882,The Big Sleep
1006,The Big Short,5895,The Big Short
3276,The Hours,5928,The Hours
621,Full Metal Jacket,5948,Full Metal Jacket
3081,The Full Monty,5951,The Full Monty
1014,The Big Red One,5960,The Big Red One
1630,Cloverfield,5961,Cloverfield
1923,The Big Parade,5963,The Big Parade
1584,Big Night,5967,Big Night
827,Point Break,5985,Point Break
3645,Point of No Return,5986,Point of No Return
1575,Animal Kingdom,6001,Animal Kingdom
2862,The Hound of the Baskervilles,6004,The Hound of the Baskervilles
1228,Guys and Dolls,6025,Guys and Dolls
353,The Fugitive,6043,The Fugitive
2675,Cloudy with a Chance of Meatballs,6053,Cloudy with a Chance of Meatballs
738,Cloud Atlas,6059,Cloud Atlas
1952,Big Jake,6074,Big Jake
749,The Big Lebowski,6077,The Big Lebowski
1271,Lone Star,6107,Lone Star
2977,Lone Survivor,6114,Lone Survivor
624,Hotel Rwanda,6137,Hotel Rwanda
3135,Dolores Claiborne,6150,Dolores Claiborne
1988,Fruitvale Station,6177,Fruitvale Station
3172,Frozen River,6183,Frozen River
2441,Closer,6187,Closer
1750,Big Hero 6,6201,Big Hero 6
3697,Big Fan,6204,Big Fan
988,Big Fish,6206,Big Fish
1279,Menace II Society,6214,Menace II Society
2878,Pocahontas,6225,Pocahontas
90,Lolita,6238,Lolita
3667,Hot Tub Time Machine,6272,Hot Tub Time Machine
3244,Hot Shots! Part Deux,6273,Hot Shots! Part Deux
3014,Hot Shots!,6274,Hot Shots!
3114,Hot Rod,6279,Hot Rod
104,The Guns of Navarone,6301,The Guns of Navarone
820,Frost/Nixon,6318,Frost/Nixon
3210,The Front Page,6321,The Front Page
1642,Frozen,6325,Frozen
424,A Clockwork Orange,6327,A Clockwork Orange
437,Close Encounters of the Third Kind,6331,Close Encounters of the Third Kind
2087,Clockers,6333,Clockers
3932,Cloak & Dagger,6337,Cloak & Dagger
1857,The Big Country,6345,The Big Country
2332,Big Daddy,6347,Big Daddy
932,The Big Chill,6351,The Big Chill
3520,Men of Honor,6357,Men of Honor
3710,Men in Black II,6359,Men in Black 2
299,Men in Black,6361,Men in Black
3969,Men in Black 3,6364,Men in Black 3
2005,Memphis Belle,6370,Memphis Belle
3686,The Pledge,6381,The Pledge
528,Logan's Run,6390,Logan's Run
4066,Angela's Ashes,6402,Angela's Ashes
868,Angel Heart,6410,Angel Heart
4023,An Angel at My Table,6413,An Angel at My Table
756,Dogma,6434,Dogma
3661,Gunfight at the O.K. Corral,6444,Gunfight at the O.K. Corral
3308,Gung Ho,6446,Gung Ho
2895,Cliffhanger,6478,Cliffhanger
3736,The Client,6479,The Client
768,Clerks,6481,Clerks
2091,Clerks II,6484,Clerks II
586,Big,6495,Big
3005,Memoirs of a Geisha,6516,Memoirs of a Geisha
1268,Pleasantville,6518,Pleasantville
234,Playtime,6520,Playtime
3412,Playing by Heart,6527,Playing by Heart
4260,Lock Up,6538,Lock Up
1454,The Andromeda Strain,6554,The Andromeda Strain
596,Andrei Rublev,6555,Andrei Rublev
2041,Gummo,6589,Gummo
659,From Here to Eternity,6603,From Here to Eternity
3691,From Hell,6606,From Hell
110,From Dusk Till Dawn,6607,From Dusk Till Dawn
2278,Cleopatra,6614,Cleopatra
1755,Clear and Present Danger,6622,Clear and Present Danger
2916,Melvin and Howard,6645,Melvin and Howard
2936,Melody Time,6646,Melody Time
1626,Melancholia,6655,Melancholia
334,The Player,6661,The Player
1052,Play Misty for Me,6668,Play Misty for Me
1296,Local Hero,6672,Local Hero
4051,Loaded Weapon 1,6677,Loaded Weapon 1
2215,Horrible Bosses,6708,Horrible Bosses
480,Dog Day Afternoon,6711,Dog Day Afternoon
1819,Dodgeball: A True Underdog Story,6718,Dodgeball: A True Underdog Story
655,Day of the Dead,6720,Document of the Dead
4003,A Guide to Recognizing Your Saints,6730,A Guide to Recognizing Your Saints
2436,The Frisco Kid,6743,The Frisco Kid
1250,The Frighteners,6745,The Frighteners
3315,Fright Night,6748,Fright Night
1144,Fright Night,6751,Fright Night
